# How often a word is written in English, per million words, for the twenty
# thousand commonest of them. Counts from Peter Norvig's count_1w.txt, which
# comes off the Google Web Trillion Word Corpus; turned into a rate here so
# that nothing has to divide by the size of a corpus it cannot see, and cut to
# words of three letters and up because nothing shorter is measured against it.
pool	90.197
mini	90.160
politics	90.130
partner	90.083
disclaimer	89.977
authors	89.933
boards	89.909
faculty	89.804
parties	89.776
fish	89.703
membership	89.672
mission	89.635
eye	89.588
string	89.575
sense	89.487
modified	89.365
pack	89.362
released	89.346
stage	89.298
internal	89.293
goods	89.279
recommended	89.261
born	89.185
unless	89.159
richard	89.137
detailed	89.091
japanese	88.962
race	88.922
approved	88.784
background	88.781
target	88.757
except	88.729
character	88.465
usb	88.431
maintenance	88.428
ability	88.424
maybe	88.239
functions	88.105
moving	88.019
brands	87.902
places	87.900
php	87.826
pretty	87.772
trademarks	87.721
phentermine	87.698
spain	87.657
southern	87.629
yourself	87.621
etc	87.610
winter	87.538
rape	87.488
battery	87.481
youth	87.441
pressure	87.409
submitted	87.375
boston	87.375
incest	87.325
debt	87.311
keywords	87.281
medium	87.278
television	87.234
interested	87.196
core	87.132
break	87.130
purposes	87.096
throughout	86.989
sets	86.982
dance	86.968
wood	86.938
msn	86.871
itself	86.847
defined	86.773
papers	86.758
playing	86.749
awards	86.672
fee	86.601
studio	86.569
reader	86.526
virtual	86.451
device	86.410
established	86.407
answers	86.378
rent	86.320
las	86.210
remote	86.178
dark	86.155
programming	86.088
external	86.044
apple	85.953
regarding	85.713
instructions	85.705
min	85.679
offered	85.607
theory	85.486
enjoy	85.257
remove	85.078
aid	85.054
surface	85.054
minimum	85.019
visual	84.964
host	84.878
variety	84.752
teachers	84.731
isbn	84.587
martin	84.504
manual	84.503
block	84.497
subjects	84.292
agents	84.253
increased	84.246
repair	84.188
fair	84.184
civil	84.158
steel	84.085
understanding	83.981
songs	83.779
fixed	83.682
wrong	83.582
beginning	83.569
hands	83.465
associates	83.351
finally	83.314
updates	83.075
desktop	83.061
classes	83.039
paris	83.029
ohio	82.997
gets	82.988
sector	82.885
capacity	82.851
requires	82.753
jersey	82.735
fat	82.714
fully	82.664
father	82.602
electric	82.571
saw	82.542
instruments	82.453
quotes	82.449
officer	82.437
driver	82.403
businesses	82.329
dead	82.269
respect	82.176
unknown	82.170
specified	82.099
restaurant	82.049
mike	81.960
trip	81.914
pst	81.849
worth	81.743
procedures	81.723
poor	81.706
teacher	81.620
xxx	81.597
eyes	81.573
relationship	81.547
workers	81.537
farm	81.505
fucking	81.466
georgia	81.442
peace	81.371
traditional	81.356
campus	81.322
tom	81.233
showing	81.182
creative	81.169
coast	81.133
benefit	81.111
progress	81.062
funding	81.040
devices	80.958
lord	80.957
grant	80.952
sub	80.916
agree	80.767
fiction	80.679
hear	80.640
sometimes	80.600
watches	80.535
careers	80.501
beyond	80.451
goes	80.388
families	80.342
led	80.275
museum	80.247
themselves	80.214
fan	79.992
transport	79.985
interesting	79.887
blogs	79.878
wife	79.824
evaluation	79.795
accepted	79.782
former	79.775
implementation	79.770
ten	79.758
hits	79.747
zone	79.741
complex	79.687
cat	79.643
galleries	79.575
references	79.487
die	79.482
presented	79.455
jack	79.453
flat	79.385
flow	79.378
agencies	79.253
literature	79.247
respective	79.114
parent	79.093
spanish	79.035
michigan	78.958
columbia	78.840
setting	78.805
scale	78.738
stand	78.712
economy	78.617
highest	78.614
helpful	78.570
monthly	78.553
critical	78.446
frame	78.351
musical	78.312
definition	78.244
secretary	78.239
angeles	78.187
networking	78.076
path	78.055
australian	77.762
employee	77.738
chief	77.704
gives	77.618
bottom	77.532
magazines	77.492
packages	77.435
detail	77.355
francisco	77.331
laws	77.287
changed	77.286
pet	77.272
heard	77.257
begin	77.254
individuals	77.249
colorado	77.212
royal	77.207
clean	77.164
switch	77.080
russian	77.063
largest	77.050
african	77.049
guy	77.001
titles	76.977
relevant	76.926
guidelines	76.867
justice	76.761
connect	76.741
bible	76.652
dev	76.595
cup	76.569
basket	76.555
applied	76.447
weekly	76.435
vol	76.424
installation	76.406
described	76.353
demand	76.273
suite	76.225
vegas	76.192
square	76.148
chris	76.097
attention	76.094
advance	76.071
skip	75.973
diet	75.960
army	75.955
auction	75.868
gear	75.783
lee	75.769
difference	75.744
allowed	75.709
correct	75.610
charles	75.607
nation	75.545
selling	75.453
lots	75.428
piece	75.322
sheet	75.316
firm	75.230
seven	75.197
older	75.192
illinois	75.179
regulations	75.157
elements	75.120
species	75.085
jump	75.048
cells	75.032
module	75.031
resort	75.016
facility	74.899
random	74.880
pricing	74.859
dvds	74.810
certificate	74.768
minister	74.698
motion	74.690
looks	74.639
fashion	74.616
directions	74.601
visitors	74.598
documentation	74.597
monitor	74.556
trading	74.314
forest	74.248
calls	74.239
whose	74.192
coverage	74.171
couple	74.097
giving	73.975
chance	73.899
vision	73.837
ball	73.794
ending	73.642
clients	73.588
actions	73.553
listen	73.543
discuss	73.468
accept	73.405
automotive	73.333
naked	73.302
goal	73.241
successful	73.185
sold	73.078
wind	73.071
communities	73.061
clinical	73.031
situation	72.910
sciences	72.896
markets	72.888
lowest	72.886
highly	72.871
publishing	72.789
appear	72.776
emergency	72.723
developing	72.721
lives	72.689
currency	72.638
leather	72.628
determine	72.616
milf	72.515
temperature	72.511
palm	72.487
announcements	72.397
patient	72.367
actual	72.354
historical	72.266
stone	72.255
bob	72.253
commerce	72.195
ringtones	72.189
perhaps	72.179
persons	72.155
difficult	72.155
scientific	72.120
satellite	72.058
fit	71.996
tests	71.985
village	71.985
accounts	71.975
amateur	71.866
